Title,Authors,Vienna Researchers,Journal,DOI,Domain,Field,OA Status,Cited By,Date,Abstract
"Trust, infrastructure and sociopolitics in online drug markets: an exploratory socio-technical analysis of cryptomarket uptake in Europe and Latin America","Tzanetakis, Boos, Buxton et al.",Meropi Tzanetakis (WU Wien); Tobias Boos (Universität Wien),Trends in Organized Crime,https://doi.org/10.1007/s12117-026-09604-9,Physical Sciences,Computer Science,hybrid,0,2026-06-25,"Abstract Online drug markets using encryption technologies have expanded primarily in consumer regions of the Global North. This article uses an exploratory approach to examine why cryptomarkets have flourished in Europe while remaining marginal in the traditional drug-producing region of Latin America. It argues that cryptomarkets operate as socio-technical infrastructures dependent on historically embedded forms of trust, sociopolitics, and drug-use cultures. This paper proposes an analytical framework structured around four interrelated socio-technical dimensions exploring regional differences in cryptomarket uptake: (a) social practices and cultures of trust, (b) socio-political embeddedness of drug markets, (c) trust in technological and postal infrastructures, (d) and trust in financial systems and digital payment mechanisms. We suggest that in Europe, cryptomarkets form sophisticated ecosystems supporting recreational users, while Latin American contexts remain constrained by structural inequalities and infrastructural limitations. By situating cryptomarkets within broader institutional and sociopolitical contexts, the paper offers an exploratory conceptual contribution to the socio-technical transformation of illicit drug trade and outlines a research agenda for future empirical study of digitally mediated illicit goods."
Revealing the Distinctive Roles of Nitrogen Vacancies in Generating H <sub>2</sub> and H <sub>2</sub> O <sub>2</sub> in Carbon Nitride Photocatalysts,"Galbao, Chauhan, Tomar et al.",Jatin Chauhan (TU Wien); Stephen Nagaraju Myakala (TU Wien); Dominik Eder (TU Wien); Alexey Cherevan (TU Wien),ACS Applied Energy Materials,https://doi.org/10.1021/acsaem.6c01203,Physical Sciences,Energy,hybrid,0,2026-06-25,"High Resolution Image Download MS PowerPoint Slide Graphitic carbon nitride (GCN) is extensively utilized for photocatalytic H 2 evolution reaction (HER) and H 2 O 2 production at scale. However, to overcome the performance bottlenecks, it is critical to establish the role of N-vacancies on the optical properties and the interfacial electron transfer process that are indispensable to generate both H 2 and H 2 O 2 . In this direction, rationally inducing N-vacancies significantly extends the optical absorption of GCN from 460 to 700 nm. Nevertheless, the HER performance was reduced by a factor of two, attributed to electron trapping by the N-vacancies in GCN. In contrast, H 2 O 2 production efficiency increases with N-vacancies. This intriguing observation is validated based on the lower thermodynamic driving energy required for a one-step O 2 reduction reaction to directly form H 2 O 2, compared to the reduction potential of H + ions to form H 2 . Control experiments with charge scavengers and photophysical and electronic structure analysis via theoretical calculations reveal that the N-vacancies promote O 2 adsorption that facilitates efficient electron transfer to form H 2 O 2 . Overall, a comprehensive correlation between the effect of N-vacancies on the electron transfer/trapping and their distinctive influence on photocatalytic HER and H 2 O 2 production in GCN is elucidated."
"Making Microplastics Matter: Classification, Politics and the Lives of Microplastics as Environmental Objects","Münster, Felt",Noah Münster (Universität Wien); Ulrike Felt (Universität Wien),Social Studies of Science,https://doi.org/10.1177/03063127261459465,Physical Sciences,Engineering,hybrid,0,2026-06-25,"How do emerging environmental phenomena become actionable amid scientific uncertainty and public urgency? This article argues that to understand how microplastics become governable, we must study classification as a central site where matters of fact, concern, and care are composed. Drawing on comparative assemblage ethnography across scientific conferences, public debates, and European regulatory processes, we trace how microplastics are enacted as epistemic, public, and regulatory objects. In scientific practice, object-centered classifications aim at rendering heterogeneous particles measurable and comparable. In public arenas, labeling condenses plurality into a recognizable and affectively charged issue. In regulatory contexts, source-centered and legally operational categories reorganize the phenomenon into governable segments. These are not translations of a stable object-microplastics-but distinct enactments shaped by different evidentiary standards and institutional constraints. The case shows that classification under conditions of ontological instability does not necessarily lead to closure but enables coordination. We show how governance materializes through classificatory infrastructures that stabilize relations between fact, concern, and care without resolving epistemic indeterminacy. Classification is a political technology through which environmental objects are rendered actionable in the absence of settled knowledge."
Multiscale Investigation of Premix Glass Fiber–Reinforced Concrete: Experimental Case Studies and Constitutive Back-Analysis,"Che, Sridhar, Imjai et al.",Ildikó Merta (TU Wien),Journal of Materials in Civil Engineering,https://doi.org/10.1061/jmcee7.mteng-23031,Physical Sciences,Engineering,closed,0,2026-06-25,"This study presents a multi-scale performance investigation of premix glass fiber-reinforced concrete (GRC) elements, integrating experimental case studies, novel casting techniques, and advanced nonlinear finite element analysis (FEA). The research introduces a bottom-up low-pressure casting method that enhances fiber-distribution, surface quality, and dimensional accuracy overcoming limitations of traditional spray methods in both formwork efficiency and material uniformity. Experimental testing of full-scale facade panels, trench covers, and architectural wall units demonstrated that the inclusion of alkali-resistant glass fibers led to an average of 95% increase in flexural strength, a 60% increase in post-cracking ductility, and a 60% weight reduction compared to conventional reinforced concrete. Qualitatively, the premix GRC elements exhibited smoother finishes, superior compaction, and minimal defect formation. Numerical simulations using nonlinear FEA revealed strong agreement with experimental results, with predicted peak load and displacement responses within ±10% of test data. The constitutive model accurately captured crack initiation, stiffness degradation, and strain localization, with improved representation of post-peak behavior compared to conventional smeared crack models. Comparative analysis showed that the proposed model improved accuracy in peak load prediction by 15 to 20% over standard concrete models. New findings include a validated numerical framework for simulating complex GRC behavior under flexural and combined loading, as well as insights into stress redistribution in fiber-reinforced sections. This integrated experimental and numerical approach supports the design of lightweight, high performance prefabricated GRC components, offering practical benefits for sustainable and efficient construction in facade, utility, and infrastructure applications."
RecAL D13.4 Final alloy element range definition for high-performance nanoeutectic and A226 substitute casting alloys,Mester,Katrin Mester (AIT),Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.18756610,Physical Sciences,Engineering,green,0,2026-06-25,Task 1.4 of Work Package Cluster C in the RecAL project focuses on the development of industrially relevant aluminium alloys with high recycling content.
Two-electron mediation enables fast alkali peroxide cycling and suppresses side reactions in metal-O2 cells,"Freunberger, He, Wang et al.",Stefan A. Freunberger (IST Austria); Soumyadip Mondal (IST Austria); Rajesh B. Jethwa (IST Austria),Research Square,https://doi.org/10.21203/rs.3.rs-9986722/v1,Physical Sciences,Engineering,green,0,2026-06-25,
Validation of a fluidized bed thermogravimetric method with integrated gas analysis for CO2 capture by activated hydrochar from pistachio shells,"Kroiss, Afif, Pröll et al.",Christoph Kroiss (BOKU); Rafat Al Afif (BOKU); Tobias Pröll (BOKU); Christoph Pfeifer (BOKU) …,Discover Applied Sciences,https://doi.org/10.1007/s42452-026-09061-7,Physical Sciences,Engineering,diamond,0,2026-06-25,"Hydrothermal carbonization (HTC) of pistachio shells was performed in a high-pressure batch reactor at 200 \(^\circ \mathrm{{C}}\) for 2 h, yielding a carbon-enriched hydrochar. Elemental analysis shows an increase in carbon mass fraction from 44.76 % to 54.09 % and a decrease in atomic O/C and H/C ratios, confirming carbonization as visualized in a Van Krevelen diagram. The hydrochar was chemically activated by potassium hydroxide (KOH) impregnation and thermal treatment, yielding 16–28 wt.% activated hydrochar. Adsorption isotherms were determined in a thermogravimetric, fluidized-bed reactor using a stepwise CO 2 concentration program limited to 50 vol.% CO 2 in N 2 (0–5–10–25–50–0 vol.% CO 2 at 100 kPa total pressure). The setup was extended by integrating online gas analysis to provide an independent, time-resolved mass-balance cross-check. Validation was performed using Lewatit VP OC 1065 by an internal Langmuir parity check and comparison with literature-based Toth model representations; gas analysis is demonstrated using a representative low-concentration step and by comparing Langmuir models derived from gas-based versus gravimetric loadings at 50 \( ^{\circ }\text {C}\) . For activated hydrochar, equilibrium points were obtained up to 50 vol.% CO 2 ( \(p_{\textrm{CO}_{2}}\approx {50\,\mathrm{\text {k}\text {Pa}}}\) ) and show decreasing loading with increasing temperature. For literature comparison and indicative saturation reporting, isotherm fits were extrapolated to pure CO 2 at 100 kPa: the maximum loading derived from the raw weighing signal was 1.84 mmol/g.; after buoyancy correction, the corresponding value is 1.45 mmol/g."
Recommendations for regulatory coherence and effective management of persistent and mobile substances in the soil-sediment–water system to move the circular economy forward,"Hartmann, Carter, Olea et al.",Steffen Kittlaus (TU Wien); Matthias Zessner (TU Wien),Environmental Sciences Europe,https://doi.org/10.1186/s12302-026-01448-y,Physical Sciences,Environmental Science,gold,0,2026-06-25,"Abstract Persistent, mobile, and toxic (PMT) or very persistent and very mobile (vPvM) substances, such as many per- and polyfluoroalkyl substances (PFAS), pose a significant environmental and regulatory challenge due to their persistence in water, soil, and sediment. These substances bypass conventional treatment methods, endangering human and environmental health and impeding the European Union’s (EU) sustainability agenda, including the Green Deal, the Circular Economy Action Plan (CEAP), the Zero Pollution Action Plan (ZPAP), the Chemicals Strategy for Sustainability (CSS), and the EU Soil Strategy. The recent inclusion of PMT and vPvM hazard classes in the Classification Labeling and Packaging (CLP) regulation 1272/2008, via Delegated Regulation (EU) 2023/707 marks an important step in recognizing these properties. However, the current regulatory landscape for PMT/vPvM substances remains fragmented and complex, with different environmental compartments—soil, sediment, water, and sludge—addressed under separate downstream policies and with the translation of these criteria into coherent measures across environmental legislation still pending. Policy updates, as well as improvements, and additions to current regulations are urgently needed to ensure harmonized management of PMT/vPvM substances across the soil-sediment–water system and to achieve the EU’s circular economy and zero pollution ambitions. To this end, the Horizon 2020 project PROMISCES proposes eight policy recommendations across four policy fields: substance regulations, circular resource management, technology performance and pollution control, and tools and data management. These recommendations integrate PROMISCES research findings, stakeholder input, and regulatory analysis to support the EU circularity and zero pollution ambitions."
Skeletal morphology and phylogenetic relationships of the Late Cretaceous freshwater ray <i>Myledaphus bipartitus</i> (Chondrichthyes; Batomorphii),"Türtscher, Jambura, Kriwet",Julia Türtscher (Universität Wien); Patrick L. Jambura (Universität Wien); Jürgen Kriwet (Universität Wien),Journal of Systematic Palaeontology,https://doi.org/10.1080/14772019.2026.2679622,Physical Sciences,Environmental Science,hybrid,0,2026-06-25,"In this study, we present the first comprehensive description of the skeletal morphology of the freshwater-tolerant ray †Myledaphus bipartitus, a Late Cretaceous batomorph known from North America. These new data are based on an exceptionally well-preserved specimen from the Campanian of the Dinosaur Park Formation in Alberta, Canada, which provides valuable morphological details previously lacking for this taxon. A detailed morphological analysis was conducted, which revealed a unique combination of plesiomorphic and derived characters. Phylogenetic analyses provide support for the placement of †M. bipartitus within the order Rhinopristiformes, a group that includes modern guitarfishes and sawfishes. As the oldest known freshwater-tolerant representative of Rhinopristiformes, †M. bipartitus thus offers novel insights into the early ecological diversification of this group. The present study underscores the broader necessity for comprehensive morphological and systematic research on Late Cretaceous batomorphs. Nevertheless, the obtained results demonstrate the value of combining detailed morphological data with rigorous phylogenetic methods to elucidate the evolutionary history of extinct and extant batomorph lineages."
Guided Adaptive Diffusion: An Evolutionary Framework for Multimodal Atomistic Structure Prediction,"Adel, Szmitek, Hartl et al.",Alexander Adel (TU Wien); Jakub Szmitek (TU Wien); Benedikt Hartl (TU Wien); Ralf Wanzenböck (TU Wien) …,Journal of Chemical Information and Modeling,https://doi.org/10.1021/acs.jcim.6c00843,Physical Sciences,Materials Science,hybrid,0,2026-06-25,"Atomistic structure prediction requires search algorithms capable of locating global and local minima on high-dimensional, multimodal potential energy surfaces. Traditional algorithms tend to become less effective as the dimensionality of the search space increases. In this work, we introduce an adaptive diffusion framework that reinterprets the neural-network-based denoising process as an evolutionary search mechanism for structure optimization. The framework incorporates two key optimization mechanisms. First, geometric constraints provide physics-informed guidance during sampling. Second, a memetic approach combines the global diverse sampling capabilities of diffusion models with local gradient-based relaxation. Unlike heuristic evolutionary algorithms, which rely on predefined analytical update rules for comparatively simple search distributions, neural-network-based denoising learns the underlying structure of the search space directly from the full accumulated history of sampled configurations, enabling the representation of highly complex distributions. We benchmark the algorithm using Lennard-Jones and gold clusters, demonstrating its ability to locate the global minimum and an ensemble of low-energy local minima within a single evolutionary run. The results indicate that the algorithm remains effective on high-dimensional potential energy surfaces, maintaining both population diversity and search efficiency throughout the optimization."
Continuity of critical points for 1-dimensional non-local energies,"Carazzato, Fusco, Pratelli",Davide Carazzato (Universität Wien),Advances in Calculus of Variations,https://doi.org/10.1515/acv-2025-0094,Physical Sciences,Mathematics,hybrid,0,2026-06-25,"Abstract In this paper we deal with the bounded critical points of a Riesz energy of attractive-repulsive type in dimension 1. Under suitable assumptions on the growth of the kernel in the origin, we are able to prove that they are continuous inside their support."
"Curvature bounds, regularity and inextendibility of spacetimes","Beran, Harvey, Sämann",Clemens Sämann (Universität Wien),Classical and Quantum Gravity,https://doi.org/10.1088/1361-6382/ae82af,Physical Sciences,Mathematics,hybrid,0,2026-06-25,Abstract We provide a completely new relation between curvature bounds and definiteness of the causal character of maximizers by exploiting the robust notion of synthetic curvature. This enables us to relate low-regularity inextendibility of spacetimes to unboundedness of curvature - which is at present unattainable using classical methods - thereby strengthening and complementing the results of Grant-Kunzinger-Saemann (2019) significantly.
Impact of Information Leakage in Platform Trials With Survival Endpoints on Type <scp>I</scp> Error Control,"Nguyen, Posch, Hofner et al.",Martin Posch (MedUni Wien); Franz König (MedUni Wien),Pharmaceutical Statistics,https://doi.org/10.1002/pst.70106,Physical Sciences,Mathematics,hybrid,0,2026-06-25,"Platform trials evaluate multiple treatments within a single trial infrastructure. Such designs have gained a lot of attraction in clinical research. If information gained from platform trials should provide confirmatory evidence for regulatory decisions, control of the Type I error rate is key. One critical issue is information leakage, for example, if any information of the ongoing trial is available, especially if it may impact the further conduct of treatments still in the platform trial and bias their results. This paper evaluates the potential impact of information leakage on the control of the Type I error rate in platform trials with time-to-event endpoints such as overall survival. We explore different strategies how information on the treatment effect of an still ongoing treatment could be obtained if a pre-planned analysis for another arm is conducted. This (leaked) information might be used to decide whether to continue the other arm as planned or conduct its final analysis immediately. By means of clinical trial simulations we evaluate the impact of different levels of information leakage on the Type I error rate. We show how the conditional error principle can be applied to estimate worst case Type I error rate inflation for the different forms of information leakage. We do not aim to quantify the exact maximum Type I error rate inflation but rather to raise awareness of the potential risk for estimation of comparative results. Finally, we discuss the regulatory implications of information leakage and propose strategies to mitigate these risks."
"Biomarker analysis from patients with metastatic PDAC treated with TGFβ antibody, NIS793, plus abraxane+gemcitabine vs. abraxane+gemcitabine alone in a phase II, open label, randomized study","Pelletier, Yang, Joshi et al.",Gerald W. Prager (MedUni Wien),Clinical Cancer Research,https://doi.org/10.1158/1078-0432.ccr-26-0805,Health Sciences,Medicine,hybrid,0,2026-06-25,"BACKGROUND: Transforming Growth Factor Beta (TGFβ) plays a dual role in cancer, acting as a tumor suppressor early in disease but promoting progression and immune evasion when dysregulated. In pancreatic ductal adenocarcinoma (PDAC), TGFβ-driven desmoplasia fosters chemoresistance and immunosuppression, limiting therapeutic efficacy. NIS793, a fully human monoclonal antibody targeting TGFβ, demonstrated anti-fibrotic and immunomodulatory activity in preclinical models and early-phase trials. METHODS: We conducted a randomized, open-label, phase II study in treatment-naïve metastatic PDAC patients to evaluate NIS793 ± spartalizumab (anti-PD-1) combined with nab-paclitaxel/gemcitabine (ABRA/GEM) versus ABRA/GEM alone. Primary endpoint was progression-free survival (PFS); secondary endpoints included overall survival (OS), safety, pharmacokinetics, and biomarker analyses. Exploratory assessments included paired tumor RNA sequencing, cfDNA profiling, and plasma proteomics. RESULTS: NIS793 demonstrated target engagement and suppression of TGFβ signaling, confirmed by transcriptomic and proteomic analyses. Stromal remodeling was evident, with significant downregulation of CAF markers (ACTA2, FAP) and collagen-related signatures. Despite proof-of-mechanism, clinical efficacy was not observed: median PFS and OS were comparable or numerically worse in NIS793 arm versus control (HR for OS in NIS793+ABRA/GEM vs ABRA/GEM: 1.32; 95% CI: 0.84-2.07). Safety profile was manageable, with no unexpected toxicities. Biomarker data revealed increased expression of neutrophil-related genes post-treatment, suggesting potential induction of tumor-promoting inflammation. CONCLUSIONS: NIS793 effectively inhibited TGFβ signaling and led to stroma remodeling but failed to improve outcomes in metastatic PDAC. These findings highlight the complexity of TGFβ biology and caution against its blockade in combination with chemotherapy for PDAC. Future strategies should consider context-dependent effects of TGFβ inhibition(NCT04390763)."
Clinical and radiological long-term outcomes after resection of tarsal coalitions in children and adolescents: a case series with a minimum of a six year-follow-up,"Pallamar, Pichler, Vallant et al.",Matthias Pallamar (MedUni Wien); Catharina Chiari (MedUni Wien),International Orthopaedics,https://doi.org/10.1007/s00264-026-06922-z,Health Sciences,Medicine,closed,0,2026-06-25,
ERS Statement on ultrasound guided interventions in respiratory disease,"Hassan, Addala, Asciak et al.",Helmut Prosch (MedUni Wien),European Respiratory Journal,https://doi.org/10.1183/13993003.01902-2025,Health Sciences,Medicine,closed,0,2026-06-25,"BACKGROUND: The use of ultrasound (US) to guide percutaneous thoracic interventions improves safety and effectiveness of procedures and leads to reduced healthcare costs. A taskforce was convened to produce a statement on various clinical aspects of these procedures. METHODS: The taskforce included respiratory physicians and nurses, thoracic surgeons, radiologists, and patient representatives. The statement covers the following procedures: thoracentesis, chest tube/indwelling catheter, medical thoracoscopy, and percutaneous biopsies of lung, pleura, mediastinum and cervical lymph nodes. Systematic searches were carried out for 18 PICO questions under five major topics to inform the writing of the statement. Narrative synthesis of the evidence from relevant literature is presented for each topic. Surveys and interviews with patients who underwent US-guided interventions were conducted to explore patient perspectives. RESULTS: Review of evidence is presented on: the use of US-guided interventions in diagnostic and treatment pathways for pleural and thoracic diseases (Section 1), comparative data on type/size of biopsy, chest tube size and disease outcome, optimal settings for procedures and portable ultrasound (Section 2), US specific methodology and association with outcomes, real-time US guidance for different interventions and contrast-enhanced US in procedure guidance (Section 3), diagnostic yield/treatment success and complications (Section 4) and training requirements (Section 5). Major themes emerging from patient surveys and interviews are presented in Section 6. Recommendations for future research conclude the statement. CONCLUSIONS: The use of US to guide percutaneous thoracic procedures is reported to show higher success and lower complication rates in the reviewed evidence. Further research is needed to better inform the procedural settings, techniques, and training."
Evaluation of Phantom Doping Materials in Quantitative Susceptibility Mapping,"Hooper, Jin, O'Brien et al.",Simon Robinson (MedUni Wien),Magnetic Resonance in Medicine,https://doi.org/10.1002/mrm.70427,Health Sciences,Medicine,hybrid,0,2026-06-25,"ABSTRACT Purpose To measure magnetic susceptibility ( χ ) with Quantitative Susceptibility Mapping (QSM) and evaluate its repeatability using four phantom doping materials relevant to QSM applications. Methods A cylindrical phantom was constructed containing vials of agarose gel doped with two paramagnetic materials (ferritin, USPIO) and two diamagnetic materials (CaCl 2 , CaCO 3 ) at five concentrations each. Single orientation QSM measurements (MEDI+0) were carried out on the phantom at 3 and 7 T. We measured molar susceptibility ( χ mol ) from QSM and evaluated the precision of QSM measurements using the standard deviation of the ROI measurement (SD ROI ). We evaluated material lifespan by conducting a t ‐test of χ mol at various timepoints. Results χ mol (ppm L mmol −1 ) were measured as 1.67 ± 0.24 and 0.74 ± 0.09 (USPIO: 3 and 7 T, respectively), 10 −2 × (8.13 ± 1.35; 8.13 ± 1.19) (Ferritin: 3; 7 T), 10 −4 × (−2.68 ± 0.24; −2.71 ± 0.37) (CaCl 2 : 3; 7 T), and 10 −5 × (−9.52 ± 1.44; −9.53 ± 1.18) (CaCO 3 : 3; 7 T). We observed no significant changes in molar susceptibility for ferritin and CaCO 3 over the measured timeframes (24 and 15 months, respectively). Conclusion We recommend using ferritin as a paramagnetic dopant. Further research is required to identify a diamagnetic dopant with a lower electrical conductivity and a lower ratio of R 2 */ B 0 to χ ."
"Headache among children and adolescents in Zambia: revised prevalence estimates, and estimates of attributed burden, from a national schools-based study","Kawatu, Somwe, Ciccone et al.",Christian Wöber (MedUni Wien),The Journal of Headache and Pain,https://doi.org/10.1186/s10194-026-02438-4,Health Sciences,Medicine,gold,0,2026-06-25,"BACKGROUND: In our earlier report of headache prevalence among children (6-11 years) and adolescents (12-17) in Zambia, we defined undifferentiated headache (UdH) conventionally as mild headache lasting < 1 h. However, we recognised diagnostic uncertainties, which also occurred in our similar studies elsewhere in sub-Saharan Africa (Ethiopia and Benin). Here we use a modified definition of UdH, making new estimates of prevalence accordingly, and estimates based on these of headache-attributed burden. The study was part of the global schools-based programme conducted by the Global Campaign against Headache. METHODS: In a cross-sectional survey using the standardised protocol of the global programme, the child and adolescent versions of the HARDSHIP questionnaire, translated into the local languages, were completed by pupils in mediated sessions within their classes in nine schools representative of Zambia's urban/rural divide. Headache diagnostic questions were based on ICHD-3 except for UdH, which we redefined as mild or moderate headache lasting < 1 h. Enquiry included multiple aspects of attributed burden. RESULTS: Of 2,759 potential participants, 2,089 (615 children [29.4%], 1,474 adolescents [70.6%]) completed questionnaires (participating proportion 75.7%). The unfeasibly high observed prevalence of migraine reported earlier (51.6%, including probable migraine) was reduced by redefining UdH to 42.9%, still highly questionable. Nonetheless, burden measures clearly distinguished migraine from tension-type headache (TTH) and UdH. Migraine headache was the most intense, most frequent and longest lasting, but proportion of time in ictal state (pTIS) was only 1.3%. However, pTIS was much greater among those with probable medication-overuse headache (7.9%) or other headache on ≥ 15 days/month (9.0%). Headache accounted for an estimated loss of 3.5% of school time in those affected, migraine having twice the impact of TTH or UdH, while H15 + accounted for > 15% of lost school time. Almost one in six parents (15.9%) lost time from their own work. Migraine had greater impact than TTH and UdH on both emotional impact and quality-of-life scores. CONCLUSIONS: Headache, prevalent among children and adolescents in Zambia, is associated with burdens that include lost school time, with, potentially, lifelong negative impact. These findings are of importance to national educational and health policies. Our modified definition of UdH was a step towards diagnostic veracity, but did not resolve the diagnostic difficulties among young people. Future studies might consider further modifications, but full review of the ICHD criteria for migraine in these age groups is needed."
Investigation of the combined tilt and pitch function for downhill cycling in motion-based VR bicycle simulators,"Kojima, Kokubu, Michahelles",Florian Michahelles (TU Wien),Personal and Ubiquitous Computing,https://doi.org/10.1007/s00779-026-01856-0,Health Sciences,Medicine,closed,0,2026-06-25,
Reply by Authors,"Miyajima, Miszczyk, Shariat",Keiichiro Miyajima (MedUni Wien); Marcin Miszczyk (MedUni Wien); S Shariat (MedUni Wien),The Journal of Urology,https://doi.org/10.1097/ju.0000000000005172,Health Sciences,Medicine,closed,0,2026-06-25,
Review of emerging imaging findings to reveal a broader spectrum of lesions in AMD,"Borrelli, Neri, Berni et al.",Gregor S. Reiter (MedUni Wien),Graefe s Archive for Clinical and Experimental Ophthalmology,https://doi.org/10.1007/s00417-026-07335-9,Health Sciences,Medicine,hybrid,0,2026-06-25,"Age-related macular degeneration (AMD) is the leading cause of irreversible vision loss in developed countries, with prevalence expected to reach nearly 288 million by 2040. Accurate classification of AMD is critical for patient care and clinical research, guiding prognosis, therapeutic strategies, and the design of clinical trials. A widely adopted framework, the Beckman classification, stratifies AMD based primarily on color fundus photography (CFP) findings, defining stages from early to late disease. While simple and clinically applicable, such systems do not account for several key phenotypes revealed by advances in multimodal imaging. Such novel phenotypes include reticular pseudodrusen (RPD), acquired vitelliform lesions (AVL), non-exudative macular neovascularization (MNV), incomplete retinal pigment epithelium and outer retina atrophy (iRORA), and non-neovascular exudative fluid. Recent imaging modalities-including optical coherence tomography (OCT), fundus autofluorescence (FAF), and OCT angiography (OCTA)-have uncovered features with important prognostic implications that are currently misclassified with respect to AMD. For example, eyes with RPD or AVL in the absence of drusen are currently misclassified as ""early AMD"" or excluded altogether, despite their high risk of progression. Similarly, the ambiguous status of non-exudative MNV, which carries both protective and harmful potential, highlights the need for greater granularity. The Classification of Atrophy Meetings (CAM) group has also introduced refined OCT-based definitions such as iRORA and cRORA, underscoring early degenerative changes that precede geographic atrophy. Moreover, novel entities like non-neovascular intraretinal or subretinal fluid challenge the assumption that exudation is synonymous with neovascular AMD. This review synthesizes recent evidence highlighting the limitations of current classification systems in light of these advances. Furthermore, we emphasize that intermediate AMD, currently treated as a uniform category, actually encompasses highly heterogeneous phenotypes with distinct risks and trajectories. A more nuanced, imaging-integrated classification system is urgently needed to improve disease staging, identify high-risk eyes, and ensure appropriate patient selection for emerging therapies. Such a framework would not only better reflect the complex natural history of AMD but also facilitate the regulatory shift toward continuous, quantitative endpoints in clinical trials."
Volume‐Stable Collagen Matrix With or Without Platelet‐Rich Fibrin Impregnation for Multiple Gingival Recessions: A Randomized Clinical Trial,"Magrin, Michels, Gil et al.",Reinhard Gruber (MedUni Wien),Journal of Periodontal Research,https://doi.org/10.1111/jre.70127,Health Sciences,Medicine,hybrid,0,2026-06-25,"AIM: This split-mouth randomized clinical trial aimed to assess whether incorporating platelet-rich fibrin (PRF) into a volume-stable collagen matrix results in superior reduction of recession depth after 6 months of healing in the treatment of multiple gingival recessions using the coronally advanced flap. METHODS: Patients with bilateral maxillary RT1 recessions at non-molar sites were recruited. Each side received either a PRF-impregnated matrix or a non-impregnated matrix. Clinical parameters, including recession depth, keratinized tissue width, bleeding on probing, probing depth, clinical attachment level, and gingival thickness, were measured at baseline and 6 months, as well as the Root Coverage Esthetic Score (RES) and patient-reported outcome measures (PROMs). The percentage of complete root coverage was calculated 6 months after treatment. RESULTS: Twenty-five patients were enrolled. However, one patient was excluded due to incomplete follow-up. Both groups significantly improved over time, but no intergroup differences were observed for any of the clinical parameters (p > 0.05). No statistically significant differences were found between test and control groups in evaluations of RES and PROMs, showing similar postoperative experiences of patients. CONCLUSION: Within the limitations of this study, adding PRF to a volume-stable collagen matrix did not result in superior recession depth reduction or improved clinical, esthetic, or patient-reported outcomes after 6 months. TRIAL REGISTRATION: Brazilian Register of Clinical Trials (ensaiosclinicos.gov.br) identifier: RBR-3hqrvrr (20/10/2021)."
An extraglomerular relay circuit for multimodal integration within the Drosophila antennal lobe,"Bergkirchner, Kaur, Grimm et al.",Beate Bergkirchner (Universität Wien); Rashmit Kaur (Universität Wien); Alexandra Grimm (Universität Wien); Sigrid Ilgerl (Universität Wien) …,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.64898/2026.06.22.733763,Life Sciences,Neuroscience,closed,0,2026-06-25,"Abstract The central integration of sensory information within and between brain hemispheres is critical for efficient behavioral responses, but at which level of information processing multimodal integration occurs is poorly understood. In olfactory systems an array of receptor-specific synaptic glomeruli with corresponding projection neurons (PNs) form separate sensory channels within each hemisphere, which run in parallel with other sensory modalities to converge at higher brain regions. We recently identified a small cluster of commissural pioneer neurons (cPINs) in the Drosophila olfactory system, which controls the formation of bilateral sensory circuits to support interhemispheric integration at the first synaptic layer. Here we show that cPINs also mediate the integration of sensory channels by relaying class-specific input within the antennal lobe. Functional studies showed that medial cPINs converge olfactory amine/ammonia input with a class of non-olfactory PNs to trigger attraction. During olfactory circuit formation, growing cPINs specify separate dendritic input/output domains, which merge into distinct glomeruli of different sensory modalities. Mutant analysis of the Wnt5 pathway revealed that cPINs display an initial PN-related growth pattern, which becomes redirected to organize lateral relay between sensory channels. These results identified a small cluster of olfactory interneurons as a central coordinator for fast convergence of sensory information, providing a mechanistic model of neural circuit evolution."
Methamphetamine-induced disruption of neuropeptide expression in mice,"Harkany, Hokfelt, Hevesi et al.",Zsófia Hevesi (MedUni Wien); Csenge Böröczky (MedUni Wien); Nived Anidil Pathikkaran (MedUni Wien); Kyriaki Papageorgiou (MedUni Wien),bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.64898/2026.06.20.733497,Life Sciences,Neuroscience,closed,0,2026-06-25,"Psychoactive and psychotoxic drugs are particularly harmful, if their use coincides with critical developmental windows of brain maturation. Methamphetamine is one such stimulant with developmental exposure increasing seizure susceptibility and long-term neuronal maladaptation in children. Nevertheless, the extent at which infant and adult vulnerability to methamphetamine could differ in time-course and severity remains incompletely understood. Here, we developed a method to monitor methamphetamine-induced hyperactivity in infant mice at high temporal resolution, differentiate it from a biphasic response in adults, and link it to activity changes in cortical areas executing goal-directed (escape) behaviors in infant subjects when using Fos expression as a molecular surrogate. Subsequently, we hypothesized that methamphetamine could alter the expression and cellular distribution of inhibitory neuropeptides, which, when co-released with fast neurotransmitters, could protect circuit plasticity by counteracting methamphetamine-induced hyperexcitability. Methamphetamine differentially altered somatostatin, cholecystokinin, and galanin expression in corticolimbic areas. These data suggest that methamphetamine can evoke age-specific neurocircuit modifications, at least in mice."
